mapa,algoritmo,execucao,custo
mapas/coletas_02.txt,Hill-Climbing,1,314.00
mapas/coletas_02.txt,Hill-Climbing,2,314.00
mapas/coletas_02.txt,Hill-Climbing,3,314.00
mapas/coletas_02.txt,Hill-Climbing,4,314.00
mapas/coletas_02.txt,Hill-Climbing,5,314.00
mapas/coletas_02.txt,Hill-Climbing,6,314.00
mapas/coletas_02.txt,Hill-Climbing,7,314.00
mapas/coletas_02.txt,Hill-Climbing,8,314.00
mapas/coletas_02.txt,Hill-Climbing,9,314.00
mapas/coletas_02.txt,Hill-Climbing,10,314.00
mapas/coletas_02.txt,Hill-Climbing,11,314.00
mapas/coletas_02.txt,Hill-Climbing,12,314.00
mapas/coletas_02.txt,Hill-Climbing,13,314.00
mapas/coletas_02.txt,Hill-Climbing,14,314.00
mapas/coletas_02.txt,Hill-Climbing,15,314.00
mapas/coletas_02.txt,Hill-Climbing,16,314.00
mapas/coletas_02.txt,Hill-Climbing,17,314.00
mapas/coletas_02.txt,Hill-Climbing,18,314.00
mapas/coletas_02.txt,Hill-Climbing,19,314.00
mapas/coletas_02.txt,Hill-Climbing,20,314.00
mapas/coletas_02.txt,Hill-Climbing,21,314.00
mapas/coletas_02.txt,Hill-Climbing,22,314.00
mapas/coletas_02.txt,Hill-Climbing,23,314.00
mapas/coletas_02.txt,Hill-Climbing,24,314.00
mapas/coletas_02.txt,Hill-Climbing,25,314.00
mapas/coletas_02.txt,Hill-Climbing,26,314.00
mapas/coletas_02.txt,Hill-Climbing,27,314.00
mapas/coletas_02.txt,Hill-Climbing,28,314.00
mapas/coletas_02.txt,Hill-Climbing,29,314.00
mapas/coletas_02.txt,Hill-Climbing,30,314.00
mapas/coletas_02.txt,Simulated Annealing,1,314.00
mapas/coletas_02.txt,Simulated Annealing,2,314.00
mapas/coletas_02.txt,Simulated Annealing,3,314.00
mapas/coletas_02.txt,Simulated Annealing,4,314.00
mapas/coletas_02.txt,Simulated Annealing,5,314.00
mapas/coletas_02.txt,Simulated Annealing,6,314.00
mapas/coletas_02.txt,Simulated Annealing,7,314.00
mapas/coletas_02.txt,Simulated Annealing,8,314.00
mapas/coletas_02.txt,Simulated Annealing,9,314.00
mapas/coletas_02.txt,Simulated Annealing,10,314.00
mapas/coletas_02.txt,Simulated Annealing,11,314.00
mapas/coletas_02.txt,Simulated Annealing,12,314.00
mapas/coletas_02.txt,Simulated Annealing,13,314.00
mapas/coletas_02.txt,Simulated Annealing,14,314.00
mapas/coletas_02.txt,Simulated Annealing,15,314.00
mapas/coletas_02.txt,Simulated Annealing,16,314.00
mapas/coletas_02.txt,Simulated Annealing,17,314.00
mapas/coletas_02.txt,Simulated Annealing,18,314.00
mapas/coletas_02.txt,Simulated Annealing,19,314.00
mapas/coletas_02.txt,Simulated Annealing,20,314.00
mapas/coletas_02.txt,Simulated Annealing,21,314.00
mapas/coletas_02.txt,Simulated Annealing,22,314.00
mapas/coletas_02.txt,Simulated Annealing,23,314.00
mapas/coletas_02.txt,Simulated Annealing,24,314.00
mapas/coletas_02.txt,Simulated Annealing,25,314.00
mapas/coletas_02.txt,Simulated Annealing,26,314.00
mapas/coletas_02.txt,Simulated Annealing,27,314.00
mapas/coletas_02.txt,Simulated Annealing,28,314.00
mapas/coletas_02.txt,Simulated Annealing,29,314.00
mapas/coletas_02.txt,Simulated Annealing,30,314.00
