passo,linha,coluna
0,1,0
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,9,2
11,9,3
12,8,3
13,7,3
14,6,3
15,5,3
16,4,3
17,3,3
18,3,4
19,3,5
20,4,5
21,5,5
22,5,6
23,5,7
24,5,8
25,5,9
26,6,9
27,7,9
28,7,10
29,7,11
30,8,11
31,9,11
32,10,11
33,11,11
34,11,12
35,11,13
36,12,13
37,13,13
38,14,13
39,15,13
40,15,12
41,15,11
42,16,11
43,17,11
44,17,12
45,17,13
46,18,13
47,19,13
48,20,13
49,21,13
50,22,13
51,23,13
52,23,12
53,23,11
54,23,10
55,23,9
56,23,8
57,23,7
58,22,7
59,21,7
60,20,7
61,19,7
62,19,8
63,19,9
64,18,9
65,17,9
66,16,9
67,15,9
68,15,8
69,15,7
70,16,7
71,17,7
72,17,6
73,17,5
74,16,5
75,15,5
76,15,4
77,15,3
78,16,3
79,17,3
80,17,2
81,17,1
82,16,1
83,15,1
84,14,1
85,13,1
86,13,2
87,13,3
88,13,4
89,13,5
90,12,5
91,11,5
92,11,4
93,11,3
94,11,2
95,11,1
96,11,2
97,11,3
98,11,4
99,11,5
100,11,6
101,11,7
102,12,7
103,13,7
104,13,8
105,13,9
106,12,9
107,11,9
108,10,9
109,9,9
110,9,8
111,9,7
112,8,7
113,7,7
114,7,6
115,7,5
116,8,5
117,7,5
118,7,6
119,7,7
120,8,7
121,9,7
122,9,8
123,9,9
124,10,9
125,11,9
126,12,9
127,13,9
128,13,10
129,13,9
130,13,8
131,13,7
132,12,7
133,11,7
134,11,6
135,11,5
136,12,5
137,13,5
138,13,4
139,13,3
140,13,2
141,13,1
142,14,1
143,15,1
144,16,1
145,17,1
146,18,1
147,19,1
148,19,2
149,19,3
150,19,4
151,19,5
152,20,5
153,21,5
154,22,5
155,23,5
156,23,4
157,23,3
158,22,3
159,21,3
160,21,2
161,21,1
162,22,1
163,23,1
164,24,1
165,25,1
166,25,2
167,25,3
168,25,4
169,25,5
170,25,6
171,25,7
172,25,8
173,25,9
174,25,10
175,25,11
176,25,12
177,25,13
178,25,14
179,25,15
180,24,15
181,23,15
182,23,16
183,23,17
184,23,18
185,23,19
186,22,19
187,21,19
188,21,18
189,21,17
190,20,17
191,19,17
192,19,18
193,19,19
194,19,20
195,19,21
196,18,21
197,17,21
198,17,20
199,17,19
200,16,19
201,15,19
202,15,20
203,15,21
204,14,21
205,13,21
206,13,20
207,13,19
208,12,19
209,11,19
210,11,20
211,11,21
212,11,22
213,11,23
214,11,24
215,11,25
216,10,25
217,9,25
218,8,25
219,7,25
220,6,25
221,5,25
222,5,24
223,5,23
224,5,22
225,5,21
226,5,20
227,5,19
228,6,19
229,7,19
230,7,18
231,7,17
232,8,17
233,9,17
234,9,16
235,9,15
236,10,15
237,11,15
238,11,16
239,11,17
240,12,17
241,13,17
242,14,17
243,15,17
244,16,17
245,17,17
246,17,16
247,17,15
248,16,15
249,15,15
250,14,15
251,15,15
252,16,15
253,17,15
254,18,15
255,19,15
256,20,15
257,19,15
258,18,15
259,17,15
260,17,16
261,17,17
262,16,17
263,15,17
264,14,17
265,13,17
266,12,17
267,11,17
268,11,16
269,11,15
270,10,15
271,9,15
272,9,14
273,9,13
274,8,13
275,7,13
276,7,14
277,7,15
278,6,15
279,5,15
280,4,15
281,3,15
282,3,16
283,3,17
284,4,17
285,3,17
286,3,18
287,3,19
288,3,20
289,3,21
290,3,22
291,3,23
292,3,24
293,3,25
294,2,25
295,1,25
296,1,24
297,1,23
298,1,22
299,1,21
300,1,20
301,1,19
302,1,18
303,1,17
304,1,16
305,1,15
306,1,14
307,1,13
308,1,12
309,1,11
310,2,11
311,3,11
312,3,10
313,3,9
314,2,9
315,1,9
316,1,8
317,1,7
318,2,7
319,1,7
320,1,6
321,1,5
322,1,4
323,1,3
324,1,4
325,1,5
326,1,6
327,1,7
328,1,8
329,1,9
330,2,9
331,3,9
332,3,10
333,3,11
334,3,12
335,3,13
336,4,13
337,5,13
338,5,12
339,5,13
340,4,13
341,3,13
342,3,12
343,3,11
344,2,11
345,1,11
346,1,12
347,1,13
348,1,14
349,1,15
350,1,16
351,1,17
352,1,18
353,1,19
354,1,20
355,1,21
356,1,22
357,1,23
358,1,24
359,1,25
360,1,26
361,1,27
362,1,28
363,1,29
364,2,29
365,3,29
366,3,30
367,3,31
368,2,31
369,1,31
370,1,32
371,1,33
372,1,34
373,1,35
374,1,36
375,1,37
376,2,37
377,3,37
378,4,37
379,5,37
380,6,37
381,7,37
382,7,36
383,7,35
384,6,35
385,5,35
386,4,35
387,3,35
388,3,34
389,3,33
390,4,33
391,5,33
392,6,33
393,7,33
394,8,33
395,9,33
396,9,34
397,9,35
398,9,36
399,9,37
400,10,37
401,11,37
402,11,36
403,11,35
404,12,35
405,13,35
406,13,36
407,13,37
408,14,37
409,15,37
410,15,36
411,15,35
412,15,34
413,15,33
414,15,32
415,15,31
416,14,31
417,13,31
418,13,32
419,13,33
420,12,33
421,11,33
422,11,32
423,11,31
424,11,30
425,11,29
426,11,28
427,11,27
428,10,27
429,9,27
430,9,28
431,9,29
432,9,30
433,9,31
434,8,31
435,7,31
436,6,31
437,5,31
438,5,30
439,5,29
440,6,29
441,7,29
442,7,28
443,7,27
444,6,27
445,5,27
446,4,27
447,5,27
448,6,27
449,7,27
450,7,28
451,7,29
452,6,29
453,5,29
454,5,30
455,5,31
456,6,31
457,7,31
458,8,31
459,9,31
460,9,30
461,9,29
462,9,28
463,9,27
464,10,27
465,11,27
466,12,27
467,13,27
468,13,26
469,13,25
470,14,25
471,15,25
472,15,26
473,15,27
474,16,27
475,17,27
476,18,27
477,19,27
478,20,27
479,21,27
480,21,28
481,21,29
482,22,29
483,23,29
484,24,29
485,25,29
486,25,28
487,25,27
488,25,26
489,25,25
490,25,24
491,25,23
492,25,22
493,25,21
494,24,21
495,23,21
496,23,22
497,23,23
498,23,24
499,23,25
500,22,25
501,21,25
502,21,24
503,21,23
504,20,23
505,19,23
506,19,24
507,19,25
508,18,25
509,17,25
510,17,24
511,17,23
512,16,23
513,15,23
514,14,23
